Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.24196380000000,0.00000000000000,1.01410000000000,0,Composed: Copy with GPU GDI,0.13330000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.24348220000000,0.00000000000000,1.51840000000000,0,Composed: Copy with GPU GDI,0.47400000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.24523480000000,0.00000000000000,1.75260000000000,0,Composed: Copy with GPU GDI,0.86450000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,0,6.24654430000000,0.00000000000000,1.30950000000000,0,Composed: Copy with GPU GDI,0.33600000000000,7.82920000000000,6.92580000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.24768140000000,0.00000000000000,1.13710000000000,0,Composed: Copy with GPU GDI,1.15360000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.24885940000000,0.00000000000000,1.17800000000000,0,Composed: Copy with GPU GDI,0.44290000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.24967030000000,0.00000000000000,0.81090000000000,0,Composed: Copy with GPU GDI,0.11870000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.25029070000000,0.00000000000000,0.62040000000000,0,Composed: Copy with GPU GDI,0.26100000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.25108500000000,0.00000000000000,0.79430000000000,0,Composed: Copy with GPU GDI,0.10910000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.25158780000000,0.00000000000000,0.50280000000000,0,Composed: Copy with GPU GDI,0.12010000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.25208070000000,0.00000000000000,0.49290000000000,0,Composed: Copy with GPU GDI,0.10590000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.25247780000000,0.00000000000000,0.39710000000000,0,Composed: Copy with GPU GDI,0.11210000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.25299960000000,0.00000000000000,0.52180000000000,0,Composed: Copy with GPU GDI,0.09100000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.25334940000000,0.00000000000000,0.34980000000000,0,Composed: Copy with GPU GDI,0.10380000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.25370300000000,0.00000000000000,0.35360000000000,0,Composed: Copy with GPU GDI,0.10340000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,0,6.25404920000000,0.00000000000000,0.34620000000000,0,Composed: Copy with GPU GDI,0.10640000000000,7.28860000000000,6.96430000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.25451360000000,0.00000000000000,0.46440000000000,0,Composed: Copy with GPU GDI,0.11150000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.25497500000000,0.00000000000000,0.46140000000000,0,Composed: Copy with GPU GDI,0.10500000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.25547750000000,0.00000000000000,0.50250000000000,0,Composed: Copy with GPU GDI,0.16060000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.25661500000000,0.00000000000000,1.13750000000000,0,Composed: Copy with GPU GDI,0.61810000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.25754700000000,0.00000000000000,0.93200000000000,0,Composed: Copy with GPU GDI,0.19700000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.25858140000000,0.00000000000000,1.03440000000000,0,Composed: Copy with GPU GDI,0.93960000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.25974240000000,0.00000000000000,1.16100000000000,0,Composed: Copy with GPU GDI,0.12670000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,0,6.26055110000000,0.00000000000000,0.80870000000000,0,Composed: Copy with GPU GDI,0.18990000000000,7.73100000000000,6.94430000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.26112590000000,0.00000000000000,0.57480000000000,0,Composed: Copy with GPU GDI,2.23410000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.26175060000000,0.00000000000000,0.62470000000000,0,Composed: Copy with GPU GDI,1.74280000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.26278110000000,0.00000000000000,1.03050000000000,0,Composed: Copy with GPU GDI,0.76350000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.26351180000000,0.00000000000000,0.73070000000000,0,Composed: Copy with GPU GDI,0.99760000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.26452080000000,0.00000000000000,1.00900000000000,0,Composed: Copy with GPU GDI,0.97730000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.26508880000000,0.00000000000000,0.56800000000000,0,Composed: Copy with GPU GDI,0.50220000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.26553700000000,0.00000000000000,0.44820000000000,0,Composed: Copy with GPU GDI,0.14060000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.26602130000000,0.00000000000000,0.48430000000000,0,Composed: Copy with GPU GDI,0.11820000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.26641970000000,0.00000000000000,0.39840000000000,0,Composed: Copy with GPU GDI,0.11230000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.26673170000000,0.00000000000000,0.31200000000000,0,Composed: Copy with GPU GDI,0.09250000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.26702450000000,0.00000000000000,0.29280000000000,0,Composed: Copy with GPU GDI,0.09330000000000,0.00000000000000,0.00000000000000
lava-triangle.exe,11468,0x0000000000000000,Other,-1,0,1,6.26728280000000,0.00000000000000,0.25830000000000,0,Composed: Copy with GPU GDI,0.08700000000000,0.00000000000000,0.00000000000000
